"","Taxo.Unit","Int_LMA.LL","Slope_LMA.LL","Slope.lci_LMA.LL","Slope.uci_LMA.LL","Rho_LMA.LL","r.sq_LMA.LL","n_LMA.LL","varLMA","varLL","lci_2.5_LMA.LL","lci_5_LMA.LL","lci_10_LMA.LL","uci_10_LMA.LL","uci_5_LMA.LL","uci_2.5_LMA.LL","sig_LMA.LL","Type","Int_LMA.N","Slope_LMA.N","Slope.lci_LMA.N","Slope.uci_LMA.N","Rho_LMA.N","r.sq_LMA.N","n_LMA.N","varNmass","lci_2.5_LMA.N","lci_5_LMA.N","lci_10_LMA.N","uci_10_LMA.N","uci_5_LMA.N","uci_2.5_LMA.N","sig_LMA.N","Int_LL.N","Slope_LL.N","Slope.lci_LL.N","Slope.uci_LL.N","Rho_LL.N","r.sq_LL.N","n_LL.N","lci_2.5_LL.N","lci_5_LL.N","lci_10_LL.N","uci_10_LL.N","uci_5_LL.N","uci_2.5_LL.N","sig_LL.N","Int_LMA.Narea","Slope_LMA.Narea","Slope.lci_LMA.Narea","Slope.uci_LMA.Narea","Rho_LMA.Narea","r.sq_LMA.Narea","n_LMA.Narea","varNarea","lci_2.5_LMA.Narea","lci_5_LMA.Narea","lci_10_LMA.Narea","uci_10_LMA.Narea","uci_5_LMA.Narea","uci_2.5_LMA.Narea","sig_LMA.Narea","Int_LL.Narea","Slope_LL.Narea","Slope.lci_LL.Narea","Slope.uci_LL.Narea","Rho_LL.Narea","r.sq_LL.Narea","n_LL.Narea","lci_2.5_LL.Narea","lci_5_LL.Narea","lci_10_LL.Narea","uci_10_LL.Narea","uci_5_LL.Narea","uci_2.5_LL.Narea","sig_LL.Narea","rho.sig_LMA.N","rho.sig_LMA.Narea","rho.sig_LMA.LL","rho.sig_LL.N","rho.sig_LL.Narea"
"1","Abies amabilis",5.08119227415223,-1.40140224573758,-1.98621113528407,-0.988781212364648,-0.565102381452238,0.31934070152299,25,0.00784246586260848,0.0154020402914175,-0.406583088039943,-0.320178361513206,-0.22343651750287,0.480046399789942,0.559516937966518,0.626406510582891,0.025,"w.inSpp",1.52572477659181,-0.672901296068143,-1.02261948863948,-0.442780681651783,-0.047899154085246,0.00229432896208214,25,0.00355103838242751,-0.53237313626269,-0.4827557599924,-0.411098816534468,0.169744888959339,0.254396378759087,0.33221184850107,1,0.802744916950289,-0.480162849827594,-0.723356307002644,-0.318731391601336,-0.214115401558991,0.0458454051847679,25,-0.542867890984307,-0.481497512741802,-0.4049421212441,0.236071034121564,0.333668589192699,0.412281733710048,1,-2.47463166699194,1.17827558258717,0.92349998362808,1.50333879061578,0.821343165756281,0.674604595934549,25,0.0108879568916979,-0.344804851044633,-0.267915398738833,-0.169514063486221,0.429175867215778,0.496506149213446,0.554591423122511,0.025,1.79754986067005,-0.840783284150528,-1.17888909276808,-0.599646340986225,-0.601880343741206,0.362259948182032,25,-0.419202807636488,-0.355960302763425,-0.268864154957471,0.376400319024548,0.460093681581923,0.532127092466798,0.025,0.820140215727122,4.85876386420126e-07,0.00324578823472883,0.304068035703942,0.0014572133737851
"2","Abies concolor",5.77477979869611,-1.62903463861611,-2.01170369313192,-1.31915742008687,-0.0705234703762613,0.0049735598739114,89,0.00626433800977583,0.0166240111350189,-0.226261736243055,-0.154812545464388,-0.0812037582551349,0.427084846542867,0.501813817591328,0.558745479919667,1,"w.inSpp",1.78455854026478,-0.795730856365117,-0.979393551796613,-0.646509867876948,-0.191058053494036,0.0365031798049301,89,0.00396650112351037,-0.442155702139251,-0.406421986809115,-0.366340186812914,-0.0188930433822405,0.0369147022890564,0.0915531466971425,1,0.916074323328586,-0.488467732669629,-0.601373469050171,-0.396759647937682,-0.184277999069672,0.0339583809411222,89,-0.428803540821184,-0.391236050046355,-0.34529019443515,0.104870195495824,0.178054382511348,0.237892001596453,1,-2.41447579102789,1.1528772782595,0.998388147988067,1.33127183190773,0.735524263916378,0.54099594280973,89,0.00832609463889381,-0.11104847961952,-0.0595089974239828,-0.000805391740150432,0.393395195143154,0.439858038110016,0.475965896401748,0.025,1.67236942334054,-0.707705809889255,-0.871146059650676,-0.574929436691527,-0.188362772413268,0.0354805340312124,89,-0.279290531008601,-0.225860705726288,-0.167604080656933,0.288634012074941,0.355823719417121,0.405375631073491,0.1,0.0728900712221524,2.23514733541079e-16,0.511354402848833,0.0838561072400661,0.0771026181997068
"3","Abies grandis",6.49509944108248,-1.91821688848673,-2.33970417039042,-1.57265866251019,-0.19088773694066,0.0364381281143266,97,0.00773434365260586,0.0229416884694123,-0.12186216441476,-0.0456468540734366,0.0263735097358806,0.487328535765296,0.54363978232238,0.585325610977522,0.025,"w.inSpp",1.97798561937915,-0.86428048255798,-1.09637484057002,-0.681318765160908,-0.0197127249203031,0.000388591523783538,71,0.00612248839819508,-0.482605657280621,-0.454423168615296,-0.417561858565547,-0.0827073362995717,-0.0298282258525519,0.0227495227932712,0.05,0.883910157982826,-0.483063798950772,-0.599046926747414,-0.389536484434955,-0.495848082251036,0.24586532067203,66,-0.463373212370467,-0.426578872921592,-0.386525719569808,0.0141911702530665,0.0908391239295629,0.165417108370327,0.025,-2.79237932833087,1.30878038865095,1.1176036509026,1.53265972631171,0.751052418814551,0.564079735807187,71,0.0140395153742889,-0.0642730987194284,-0.0100612378901325,0.0513651982993713,0.445950655900562,0.489594472594453,0.524729020392129,0.025,1.66721328500648,-0.702743563689774,-0.858722776216038,-0.575096561993555,-0.589025767359181,0.346951354613072,66,-0.221384456101494,-0.179678246849102,-0.128873023963123,0.277230203633533,0.340465736314817,0.383522238129637,0.025,0.870384684728913,4.57305839331146e-14,0.0610800693627755,2.30076008365712e-05,1.96628954030904e-07
"4","Abies lasiocarpa",9.05203317453345,-3.02096629630996,-7.26745364938755,-1.25576822415782,-0.0888832969048719,0.00790024046867961,8,0.00364560650317161,0.0332706702816493,-0.72124780180178,-0.619320780479267,-0.482291205406169,0.630995519977481,0.737890273261174,0.814632928799203,1,"w.inSpp",-1.5181861052323,0.640369669667084,0.291545095717555,1.40655191890727,0.490371663386329,0.240464368252275,8,0.00149496593967407,-0.801874745473334,-0.721443361327006,-0.600796854489265,0.520222519678315,0.653325286138428,0.755898994846724,1,0.400619642740422,-0.211975112217988,-0.490783368086757,-0.0915545454912104,-0.333697933501678,0.11135431082329,8,-0.784460381545065,-0.701436070907486,-0.591207386589904,0.497227698624984,0.632641658393344,0.738098541069716,1,-2.98309856366666,1.40965512504708,0.961785146894671,2.06608261521543,0.919921189728446,0.8462549953114,8,0.00724428519755268,-0.715313055688084,-0.61522786265469,-0.483239971431443,0.574952118672659,0.684428000247716,0.765216515045755,0.025,1.24079660926641,-0.466623916582215,-1.10765101426282,-0.196576247141739,-0.212000927232392,0.0449443931473939,8,-0.708429199064232,-0.617171711067216,-0.491011975079552,0.576263982703577,0.697464052491163,0.777166040037568,1,0.217316215528426,0.00120791840652673,0.834219487248261,0.419213085766232,0.614247987134525
"5","Abies magnifica",-2.96880709671167,2.17218956545678,1.16583517503518,4.04723378511627,0.475755659305197,0.226343447360923,11,0.00265324172409754,0.0125190756722616,-0.649251274221896,-0.549864920227296,-0.424688686126457,0.558433301657005,0.667346954507693,0.756427939403927,1,"w.inSpp",-4.07397999765138,1.6390200084593,0.82699336690893,3.24837743036668,0.200966842505729,0.0403876717867226,11,0.00712763298268227,-0.707754094973082,-0.630917790073871,-0.529800354923135,0.348044580470748,0.471243024331336,0.570086712532916,1,-1.83387429502448,0.754547408994038,0.439380518537294,1.29578296806368,0.658486608462987,0.433604613525088,11,-0.69794108798177,-0.625128594384325,-0.534625135449147,0.384268363297216,0.503103578965609,0.601290633616791,0.025,-4.71367614749856,2.08450568239509,1.19989692859374,3.62128099205147,0.637747686241042,0.406722111305803,11,0.0115287702634861,-0.583698203440144,-0.488869827116252,-0.360701728137836,0.525579568740853,0.619840244068261,0.696366579523366,0.05,-1.86470966619195,0.959633411164447,0.591940079714318,1.55572551239908,0.745993833939472,0.556506800275712,11,-0.635115381334011,-0.546481546041384,-0.427244115433425,0.490896718847013,0.612977308065983,0.699778697300082,0.025,0.553495505789804,0.0347659821718394,0.139107997582453,0.0275895921992218,0.00838156007353944
"6","Abies procera",5.88841474559364,-1.74877390161437,-2.45215748549105,-1.24715079560036,-0.674097718003973,0.454407733418163,22,0.0136393646237586,0.0417120434542406,-0.336265185186289,-0.249240220196978,-0.143066488846295,0.540631422932152,0.605735772857354,0.668094029528622,0.025,"w.inSpp",-1.63340748368566,0.638293880077031,0.413316941839069,0.985730407108321,0.275437873380335,0.0758660220922814,22,0.0055569373505673,-0.616315768500319,-0.564818900227695,-0.499445182591921,0.0955879307089019,0.195609308555083,0.276106597817574,0.05,-0.664564532558494,0.364995085692784,0.232882007847177,0.57205541042615,0.0879685137084121,0.00773845940406709,22,-0.628013220783506,-0.5806765947574,-0.512515307566048,0.107407295396825,0.208729057808367,0.305855503450482,1,-2.87132813361409,1.32628793826378,1.07061086342955,1.64302432869881,0.88654226205158,0.785957182403533,22,0.0239921837902797,-0.304916447837009,-0.222990264628031,-0.134423462297525,0.485862568398101,0.552173519598569,0.600272605438118,0.025,1.59450558300643,-0.758410185009876,-1.13346925491397,-0.507456206891446,-0.465922923851185,0.217084170970037,22,-0.419006712332906,-0.343304255975939,-0.260134348304523,0.38969333231642,0.471868969452661,0.536338827239073,0.025,0.214725110682568,3.96344064539378e-08,0.000581649205707749,0.697068864983278,0.0288541740226803
"7","Acer rubrum",-0.786979901116072,0.847318545736319,0.0575638464749347,12.4722158423054,0.817057169102883,0.667582417582417,3,0.0113071428571429,0.000933333333333335,NA,NA,NA,NA,NA,NA,NA,"w.inSpp",0.961376570228868,-0.370313353385254,-0.881625438856762,-0.155544490496164,-0.522263141365099,0.272758788828541,7,0.001801,-0.772112788398546,-0.690322111129501,-0.574790452116342,0.499703492229798,0.62394524541503,0.72021275765787,1,-0.529555081228369,1.11547555521657,0.0691661899804579,17.9897969605852,0.774813674978214,0.600336230933246,3,NA,NA,NA,NA,NA,NA,NA,-1.48754969211015,0.872658994159244,0.585285608810559,1.30113180406852,0.934188992323819,0.872709073378992,7,0.0100014761904762,-0.668803732570285,-0.556029382233405,-0.423429660144695,0.625574221417585,0.725673123564729,0.791303054143205,0.025,-1.25875326245277,1.83449097649924,1.00169265316625,3.35967038614048,0.998720015859186,0.997441670077773,3,NA,NA,NA,NA,NA,NA,NA,0.22917320434873,0.00205927487139045,0.391207990031724,0.435687302676047,0.0322139329347207
"8","Acer saccharum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"w.inSpp",1.0381017616743,-0.421435324316264,-1.91790480921038,-0.0926050822379853,-0.702392207193773,0.493354812726541,4,0.003675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.28110595990452,0.752290100083638,0.275466006999461,2.05448360343409,0.921391153942023,0.848961658562613,4,0.01171025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297607792806227,0.078608846057977,NA,NA,NA
"9","Alnus rubra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"w.inSpp",0.789629464334674,-0.210993973764542,-0.471278444720065,-0.0944631723850555,-0.0420702180870436,0.00176990324989141,9,0.00131263214965513,-0.741140195323095,-0.672515143896958,-0.569347336491066,0.404338294914213,0.540989880809166,0.647981672801757,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.61643872920713,1.01329429682709,0.84225369004423,1.21906896237923,0.97812001963513,0.956718772811026,9,0.0302743014200243,-0.484547639217696,-0.363481342255451,-0.209768727401232,0.696881091029448,0.772513628256464,0.824082153974139,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.914421562412798,4.99374637281123e-06,NA,NA,NA
"10","Arbutus menziesii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"w.inSpp",3.41891064576707,-1.63085983364092,-2.51374483678309,-1.05806435007421,-0.489209179859497,0.239325621658802,19,0.019678224275501,-0.683629898301661,-0.635840212147354,-0.573127707214295,0.0535925647093246,0.163420353194523,0.247378665603066,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.95282881345159,1.43840274136927,0.883785960691496,2.34106733802355,0.141423820803688,0.0200006970907138,19,0.015307830222515,-0.370667272581809,-0.286038612038536,-0.182359948198072,0.484216745110465,0.561784922547872,0.627997056193661,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0335253275444751,0.56359011550436,NA,NA,NA
